"Time","Intensity","Occupancy","Velocity","Velocity 85%","Intensity Micro","Intensity Motorcar ","Intensity Trac ","Intensity Bus","Intensity Trailer","0<V<10","10<V<20","20<V<30","30<V<40","40<V<50","50<V<60","60<V<70","70<V<80","80<V<90","90<V<100","100<V<110","110<V<120","120<V<130","130<V<500"
"07.06.21 14:55:00","1236","11.2","88.5","101.9","48","432","612","96","48","0","0","0","0","0","0","72","216","372","360","156","36","24","0"
"07.06.21 14:50:00","1224","11.2","90.6","103.8","12","468","528","156","60","0","0","0","0","0","0","0","216","444","324","132","96","12","0"
"07.06.21 14:45:00","1056","10","90.9","104.6","60","432","336","180","24","0","0","0","0","0","0","36","204","300","288","144","60","24","0"
"07.06.21 14:40:00","1224","11.1","90.2","98.8","24","516","456","180","36","0","0","0","0","0","0","24","108","456","492","108","36","0","0"
"07.06.21 14:35:00","996","9","89.6","100.5","12","420","432","108","24","0","0","0","0","0","0","0","216","312","300","108","60","0","0"
"07.06.21 14:30:00","1200","10.2","90.5","103","12","624","456","108","0","0","0","0","0","0","0","12","216","408","288","192","72","12","0"
"07.06.21 14:25:00","1092","9.6","90.2","102.1","24","492","432","120","24","0","0","0","0","0","0","12","144","468","264","156","24","24","0"
"07.06.21 14:20:00","1080","8.9","93.9","104.9","24","492","468","72","24","0","0","0","0","0","0","0","84","300","408","204","60","24","0"
"07.06.21 14:15:00","1164","9.5","91.1","100.8","48","552","468","96","0","0","0","0","0","0","0","24","120","432","348","180","60","0","0"
"07.06.21 14:10:00","1116","9.2","94.9","104.6","36","480","468","108","24","0","0","0","0","0","0","0","72","252","468","252","60","12","0"
"07.06.21 14:05:00","1008","8.6","90.4","99.7","48","456","420","72","12","0","0","0","0","0","0","36","144","300","396","84","24","24","0"
"07.06.21 14:00:00","1056","9.2","93.2","104.6","24","456","444","96","36","0","0","0","0","0","0","12","120","348","276","240","60","0","0"
"07.06.21 13:55:00","996","8.8","93.4","106.2","12","420","396","144","12","0","0","0","0","0","0","0","132","300","300","180","48","24","12"
"07.06.21 13:50:00","1248","10.5","94.1","104.6","60","492","552","108","36","0","0","0","0","0","0","0","120","336","444","240","72","36","0"
"07.06.21 13:45:00","1128","9.7","93","101.3","12","552","372","156","36","0","0","0","0","0","0","0","24","444","432","168","48","12","0"
"07.06.21 13:40:00","1032","8.8","93","103","12","432","456","120","12","0","0","0","0","0","0","12","108","288","336","240","48","0","0"
"07.06.21 13:35:00","1044","9.7","90.9","105.6","12","396","468","132","24","0","0","0","0","0","0","24","168","396","192","180","60","12","12"
"07.06.21 13:30:00","1092","9.4","92.2","100.5","24","576","348","120","24","0","0","0","0","0","0","0","84","384","456","84","60","24","0"
"07.06.21 13:25:00","1092","9.1","92","103","24","516","468","84","0","0","0","0","0","0","0","0","180","336","360","156","36","12","0"
"07.06.21 13:20:00","996","8.9","91.2","103","24","360","456","156","0","0","0","0","0","0","0","0","180","288","324","132","60","12","0"
"07.06.21 13:15:00","1116","9.7","90.4","103","48","504","444","108","12","0","0","0","0","0","0","36","180","372","336","96","96","0","0"
"07.06.21 13:10:00","1032","8.9","90.1","98.1","36","540","336","96","24","0","0","0","0","0","0","0","144","384","384","72","24","24","0"
"07.06.21 13:05:00","936","8.5","91.1","103.8","24","276","480","144","12","0","0","0","0","0","0","0","180","336","240","84","48","48","0"
"07.06.21 13:00:00","1260","10.5","92.7","101.9","36","624","492","84","12","0","0","0","0","0","0","12","120","384","516","156","60","0","12"
"07.06.21 12:55:00","1092","9.1","94.2","107.8","36","504","456","72","12","0","0","0","0","0","0","12","60","360","312","240","84","24","0"
"07.06.21 12:50:00","1020","8.6","92.2","105.1","12","588","348","60","12","0","0","0","0","0","0","0","108","420","252","156","72","12","0"
"07.06.21 12:45:00","1032","9.2","92.1","104.6","24","384","480","120","12","0","0","0","0","0","12","0","72","384","348","168","48","0","0"
"07.06.21 12:40:00","1080","9.4","92.5","107.2","36","492","432","108","12","0","0","0","0","0","0","12","156","312","288","192","120","0","0"
"07.06.21 12:35:00","996","9","91.8","105.8","12","348","564","60","0","0","0","0","0","0","0","0","120","396","264","132","60","24","0"
"07.06.21 12:30:00","984","9.2","88.9","99.7","24","360","384","180","36","0","0","0","0","0","0","0","84","540","216","132","12","0","0"
"07.06.21 12:25:00","1080","9.6","92.1","104","12","492","408","144","24","0","0","0","0","0","0","12","120","372","336","192","36","12","0"
"07.06.21 12:20:00","972","8.9","91.4","103.8","24","312","516","96","24","0","0","0","0","0","0","12","108","396","240","156","48","12","0"
"07.06.21 12:15:00","948","8.6","90.9","104.9","12","396","360","168","12","0","0","0","0","0","0","24","144","348","192","168","48","12","12"
